course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled,tags
IBM Applied AI,IBM,PROFESSIONAL CERTIFICATE,4.6,Beginner,220k,ibm applied ai ibm professional certificate beginner
IBM Customer Engagement Specialist Professional Certificate,IBM,COURSE,4.8,Beginner,3.3k,ibm customer engagement specialist professional certificate ibm course beginner
IBM Data Science,IBM,PROFESSIONAL CERTIFICATE,4.6,Beginner,480k,ibm data science ibm professional certificate beginner
IT Fundamentals for Cybersecurity,IBM,SPECIALIZATION,4.5,Beginner,35k,it fundamentals for cybersecurity ibm specialization beginner
IT Security: Defense against the digital dark arts,Google,COURSE,4.8,Beginner,62k,it security defense against the digital dark arts google course beginner
"Identifying, Monitoring, and Analyzing Risk and Incident Response and Recovery",(ISC)²,COURSE,4.9,Beginner,1.7k,identifying monitoring and analyzing risk and incident response and recovery isc ² course beginner
Implementación del Marketing Mix,IE Business School,SPECIALIZATION,4.7,Beginner,23k,implementación del marketing mix ie business school specialization beginner
Implementing RPA with Cognitive Automation and Analytics,Automation Anywhere,SPECIALIZATION,4.6,Beginner,2.2k,implementing rpa with cognitive automation and analytics automation anywhere specialization beginner
Improve Your English Communication Skills,Georgia Institute of Technology,SPECIALIZATION,4.7,Beginner,610k,improve your english communication skills georgia institute of technology specialization beginner
"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization",deeplearning.ai,COURSE,4.9,Beginner,270k,improving deep neural networks hyperparameter tuning regularization and optimization deeplearning ai course beginner
Improving Leadership & Governance in Nonprofit Organizations,Luther College at the University of Regina,SPECIALIZATION,4.4,Beginner,18k,improving leadership governance in nonprofit organizations luther college at the university of regina specialization beginner
In the Studio: Postwar Abstract Painting,The Museum of Modern Art,COURSE,4.9,Beginner,79k,in the studio postwar abstract painting the museum of modern art course beginner
Indigenous Canada,University of Alberta,COURSE,4.8,Mixed,51k,indigenous canada university of alberta course mixed
Industrial IoT on Google Cloud Platform,Google Cloud,COURSE,4.5,Beginner,34k,industrial iot on google cloud platform google cloud course beginner
Infectious Disease Modelling,Imperial College London,SPECIALIZATION,5.0,Intermediate,1.6k,infectious disease modelling imperial college london specialization intermediate
Influencer Marketing Strategy,Rutgers the State University of New Jersey,COURSE,4.4,Intermediate,12k,influencer marketing strategy rutgers the state university of new jersey course intermediate
"Influencing: Storytelling, Change Management and Governance",Macquarie University,SPECIALIZATION,4.8,Beginner,22k,influencing storytelling change management and governance macquarie university specialization beginner
Information Security: Context and Introduction,"Royal Holloway, University of London",COURSE,4.6,Beginner,32k,information security context and introduction royal holloway university of london course beginner
Information Visualization,New York University,SPECIALIZATION,4.6,Beginner,10k,information visualization new york university specialization beginner
Information​ ​Systems,University of Minnesota,SPECIALIZATION,4.7,Beginner,16k,information systems university of minnesota specialization beginner
Initiating and Planning Projects,"University of California, Irvine",COURSE,4.7,Mixed,180k,initiating and planning projects university of california irvine course mixed
Innovation Management,Erasmus University Rotterdam,COURSE,4.6,Beginner,40k,innovation management erasmus university rotterdam course beginner
"Innovation Through Design: Think, Make, Break, Repeat",The University of Sydney,COURSE,4.8,Beginner,10k,innovation through design think make break repeat the university of sydney course beginner
Innovation: From Creativity to Entrepreneurship,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.8,Beginner,25k,innovation from creativity to entrepreneurship university of illinois at urbana champaign specialization beginner
Inspirational Leadership: Leading with Sense,HEC Paris,SPECIALIZATION,4.5,Beginner,72k,inspirational leadership leading with sense hec paris specialization beginner
Inspired Leadership,Case Western Reserve University,SPECIALIZATION,4.7,Intermediate,97k,inspired leadership case western reserve university specialization intermediate
Inspiring and Motivating Individuals,University of Michigan,COURSE,4.8,Mixed,85k,inspiring and motivating individuals university of michigan course mixed
Instructional Design Foundations and Applications,University of Illinois at Urbana-Champaign,COURSE,4.2,Mixed,12k,instructional design foundations and applications university of illinois at urbana champaign course mixed
Instructional Methods in Health Professions Education,University of Michigan,COURSE,4.6,Intermediate,9.7k,instructional methods in health professions education university of michigan course intermediate
Integrative Health and Medicine,University of Minnesota,SPECIALIZATION,4.8,Beginner,14k,integrative health and medicine university of minnesota specialization beginner
Intellectual Property Law,University of Pennsylvania,SPECIALIZATION,4.8,Intermediate,8.7k,intellectual property law university of pennsylvania specialization intermediate
Interaction Design,University of California San Diego,SPECIALIZATION,4.5,Intermediate,150k,interaction design university of california san diego specialization intermediate
Intercultural Management,ESCP Business School,COURSE,4.6,Beginner,6.5k,intercultural management escp business school course beginner
International Business Essentials,University of London,SPECIALIZATION,4.5,Intermediate,22k,international business essentials university of london specialization intermediate
International Cyber Conflicts,The State University of New York,COURSE,4.4,Mixed,25k,international cyber conflicts the state university of new york course mixed
International Humanitarian Law in Theory and Practice,Kalshoven-Gieskes Forum,COURSE,4.8,Beginner,22k,international humanitarian law in theory and practice kalshoven gieskes forum course beginner
International Law in Action: A Guide to the International Courts and Tribunals in The Hague,Universiteit Leiden,COURSE,4.8,Mixed,36k,international law in action a guide to the international courts and tribunals in the hague universiteit leiden course mixed
International Law in Action: the Arbitration of International Disputes,Universiteit Leiden,COURSE,4.8,Mixed,19k,international law in action the arbitration of international disputes universiteit leiden course mixed
International Leadership and Organizational Behavior,Università Bocconi,COURSE,4.8,Mixed,41k,international leadership and organizational behavior università bocconi course mixed
International Marketing & Cross Industry Growth,Yonsei University,SPECIALIZATION,4.6,Beginner,26k,international marketing cross industry growth yonsei university specialization beginner
International Organizations Management,University of Geneva,COURSE,4.8,Beginner,20k,international organizations management university of geneva course beginner
International Security Management,Erasmus University Rotterdam,COURSE,4.5,Beginner,2.2k,international security management erasmus university rotterdam course beginner
International Women's Health and Human Rights,Stanford University,COURSE,4.9,Beginner,35k,international women s health and human rights stanford university course beginner
International migrations: a global issue,Sciences Po,COURSE,4.6,Beginner,11k,international migrations a global issue sciences po course beginner
Internet Connection: How to Get Online?,Cisco,COURSE,4.7,Beginner,36k,internet connection how to get online cisco course beginner
Internet Giants: The Law and Economics of Media Platforms,The University of Chicago,COURSE,4.8,Mixed,38k,internet giants the law and economics of media platforms the university of chicago course mixed
Interviewing and Resume Writing in English,"University of Maryland, College Park",SPECIALIZATION,4.6,Intermediate,66k,interviewing and resume writing in english university of maryland college park specialization intermediate
Introducción a Data Science: Programación Estadística con R,Universidad Nacional Autónoma de México,COURSE,4.7,Beginner,140k,introducción a data science programación estadística con r universidad nacional autónoma de méxico course beginner
Introducción a la programación en Python I: Aprendiendo a programar con Python,Pontificia Universidad Católica de Chile,COURSE,4.4,Beginner,100k,introducción a la programación en python i aprendiendo a programar con python pontificia universidad católica de chile course beginner
Introduction aux Droits de l’Homme,University of Geneva,COURSE,4.8,Mixed,46k,introduction aux droits de l homme university of geneva course mixed
Introduction to Ableton Live,Berklee College of Music,COURSE,4.8,Mixed,60k,introduction to ableton live berklee college of music course mixed
Introduction to Artificial Intelligence (AI),IBM,COURSE,4.7,Beginner,44k,introduction to artificial intelligence ai ibm course beginner
Introduction to Big Data,University of California San Diego,COURSE,4.6,Mixed,160k,introduction to big data university of california san diego course mixed
Introduction to Blockchain Technologies,INSEAD,COURSE,4.7,Beginner,16k,introduction to blockchain technologies insead course beginner
Introduction to Breast Cancer,Yale University,COURSE,4.9,Mixed,27k,introduction to breast cancer yale university course mixed
Introduction to Business Analytics: Communicating with Data,University of Illinois at Urbana-Champaign,COURSE,4.7,Intermediate,14k,introduction to business analytics communicating with data university of illinois at urbana champaign course intermediate
Introduction to CSS3,University of Michigan,COURSE,4.8,Mixed,84k,introduction to css3 university of michigan course mixed
Introduction to Calculus,The University of Sydney,COURSE,4.8,Intermediate,53k,introduction to calculus the university of sydney course intermediate
Introduction to Chemistry:  Reactions and Ratios,Duke University,COURSE,4.8,Beginner,46k,introduction to chemistry reactions and ratios duke university course beginner
Introduction to Classical Music,Yale University,COURSE,4.9,Mixed,150k,introduction to classical music yale university course mixed
Introduction to Cloud Computing,IBM,COURSE,4.6,Beginner,2.6k,introduction to cloud computing ibm course beginner
Introduction to Computer Programming,"Goldsmiths, University of London",COURSE,4.3,Beginner,20k,introduction to computer programming goldsmiths university of london course beginner
Introduction to Computer Science and Programming,"Goldsmiths, University of London",SPECIALIZATION,4.3,Beginner,32k,introduction to computer science and programming goldsmiths university of london specialization beginner
Introduction to Corporate Finance,University of Pennsylvania,COURSE,4.6,Mixed,130k,introduction to corporate finance university of pennsylvania course mixed
Introduction to Cyber Attacks,New York University,COURSE,4.7,Beginner,27k,introduction to cyber attacks new york university course beginner
Introduction to Cyber Security,New York University,SPECIALIZATION,4.7,Beginner,32k,introduction to cyber security new york university specialization beginner
Introduction to Cybersecurity Tools & Cyber Attacks,IBM,COURSE,4.5,Beginner,30k,introduction to cybersecurity tools cyber attacks ibm course beginner
Introduction to Data Analysis Using Excel,Rice University,COURSE,4.7,Mixed,99k,introduction to data analysis using excel rice university course mixed
Introduction to Data Science,IBM,SPECIALIZATION,4.6,Beginner,310k,introduction to data science ibm specialization beginner
Introduction to Data Science in Python,University of Michigan,COURSE,4.5,Intermediate,390k,introduction to data science in python university of michigan course intermediate
Introduction to Dental Medicine,University of Pennsylvania,COURSE,4.8,Beginner,25k,introduction to dental medicine university of pennsylvania course beginner
Introduction to Discrete Mathematics for Computer Science,National Research University Higher School of Economics,SPECIALIZATION,4.4,Beginner,75k,introduction to discrete mathematics for computer science national research university higher school of economics specialization beginner
Introduction to Electronics,Georgia Institute of Technology,COURSE,4.7,Mixed,110k,introduction to electronics georgia institute of technology course mixed
Introduction to Embedded Systems Software and Development Environments,University of Colorado Boulder,COURSE,4.5,Intermediate,41k,introduction to embedded systems software and development environments university of colorado boulder course intermediate
Introduction to Engineering Mechanics,Georgia Institute of Technology,COURSE,4.7,Mixed,150k,introduction to engineering mechanics georgia institute of technology course mixed
Introduction to Environmental Law and Policy,The University of North Carolina at Chapel Hill,COURSE,4.8,Mixed,34k,introduction to environmental law and policy the university of north carolina at chapel hill course mixed
Introduction to Financial Accounting,University of Pennsylvania,COURSE,4.7,Mixed,200k,introduction to financial accounting university of pennsylvania course mixed
Introduction to Forensic Science,"Nanyang Technological University, Singapore",COURSE,4.9,Mixed,47k,introduction to forensic science nanyang technological university singapore course mixed
Introduction to Game Development,Michigan State University,COURSE,4.8,Mixed,79k,introduction to game development michigan state university course mixed
Introduction to Genetics and Evolution,Duke University,COURSE,4.8,Mixed,74k,introduction to genetics and evolution duke university course mixed
Introduction to Genomic Technologies,Johns Hopkins University,COURSE,4.6,Mixed,42k,introduction to genomic technologies johns hopkins university course mixed
Introduction to HTML5,University of Michigan,COURSE,4.7,Mixed,220k,introduction to html5 university of michigan course mixed
Introduction to Imagemaking,California Institute of the Arts,COURSE,4.5,Beginner,54k,introduction to imagemaking california institute of the arts course beginner
Introduction to Intellectual Property,University of Pennsylvania,COURSE,4.8,Beginner,6k,introduction to intellectual property university of pennsylvania course beginner
Introduction to International Criminal Law,Case Western Reserve University,COURSE,4.8,Mixed,82k,introduction to international criminal law case western reserve university course mixed
Introduction to Marketing,University of Pennsylvania,COURSE,4.8,Mixed,220k,introduction to marketing university of pennsylvania course mixed
Introduction to Mathematical Thinking,Stanford University,COURSE,4.8,Intermediate,270k,introduction to mathematical thinking stanford university course intermediate
Introduction to Operations Management,University of Pennsylvania,COURSE,4.5,Mixed,87k,introduction to operations management university of pennsylvania course mixed
Introduction to Personal Branding,University of Virginia,COURSE,4.4,Beginner,140k,introduction to personal branding university of virginia course beginner
Introduction to Philosophy,The University of Edinburgh,COURSE,4.6,Mixed,370k,introduction to philosophy the university of edinburgh course mixed
Introduction to Portfolio Construction and Analysis with Python,EDHEC Business School,COURSE,4.8,Mixed,11k,introduction to portfolio construction and analysis with python edhec business school course mixed
Introduction to Probability and Data,Duke University,COURSE,4.7,Beginner,160k,introduction to probability and data duke university course beginner
Introduction to Programming in C,Duke University,SPECIALIZATION,4.7,Beginner,82k,introduction to programming in c duke university specialization beginner
Introduction to Programming with MATLAB,Vanderbilt University,COURSE,4.8,Beginner,270k,introduction to programming with matlab vanderbilt university course beginner
Introduction to Psychology,Yale University,COURSE,4.9,Beginner,270k,introduction to psychology yale university course beginner
Introduction to Scripting in Python,Rice University,SPECIALIZATION,4.7,Beginner,49k,introduction to scripting in python rice university specialization beginner
Introduction to Self-Driving Cars,University of Toronto,COURSE,4.8,Advanced,39k,introduction to self driving cars university of toronto course advanced
Introduction to Spreadsheets and Models,University of Pennsylvania,COURSE,4.2,Mixed,76k,introduction to spreadsheets and models university of pennsylvania course mixed
Introduction to Statistics & Data Analysis in Public Health,Imperial College London,COURSE,4.7,Beginner,12k,introduction to statistics data analysis in public health imperial college london course beginner
Introduction to Sustainability,University of Illinois at Urbana-Champaign,COURSE,4.8,Mixed,69k,introduction to sustainability university of illinois at urbana champaign course mixed
Introduction to Systematic Review and Meta-Analysis,Johns Hopkins University,COURSE,4.8,Mixed,67k,introduction to systematic review and meta analysis johns hopkins university course mixed
Introduction to Systems Engineering,UNSW Sydney (The University of New South Wales),COURSE,4.7,Mixed,33k,introduction to systems engineering unsw sydney the university of new south wales course mixed
"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",deeplearning.ai,COURSE,4.7,Intermediate,150k,introduction to tensorflow for artificial intelligence machine learning and deep learning deeplearning ai course intermediate
Introduction to Thermodynamics: Transferring Energy from Here to There,University of Michigan,COURSE,4.8,Beginner,4.1k,introduction to thermodynamics transferring energy from here to there university of michigan course beginner
"Introduction to Trading, Machine Learning & GCP",New York Institute of Finance,COURSE,4.0,Intermediate,13k,introduction to trading machine learning gcp new york institute of finance course intermediate
Introduction to Typography,California Institute of the Arts,COURSE,4.8,Beginner,72k,introduction to typography california institute of the arts course beginner
Introduction to User Experience Design,Georgia Institute of Technology,COURSE,4.5,Beginner,87k,introduction to user experience design georgia institute of technology course beginner
Introduction to User Experience Principles and Processes,University of Michigan,COURSE,4.8,Beginner,16k,introduction to user experience principles and processes university of michigan course beginner
Introduction to Web Development,"University of California, Davis",COURSE,4.7,Beginner,76k,introduction to web development university of california davis course beginner
Introduction to the Biology of Cancer,Johns Hopkins University,COURSE,4.8,Beginner,110k,introduction to the biology of cancer johns hopkins university course beginner
Introductory Human Physiology,Duke University,COURSE,4.7,Mixed,270k,introductory human physiology duke university course mixed
Introdução aos Princípios e Práticas da Gestão De Projetos,Universidade de São Paulo,SPECIALIZATION,4.9,Beginner,4.5k,introdução aos princípios e práticas da gestão de projetos universidade de são paulo specialization beginner
Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,COURSE,4.9,Beginner,120k,introdução à ciência da computação com python parte 1 universidade de são paulo course beginner
Investment Management,University of Geneva,SPECIALIZATION,4.7,Beginner,99k,investment management university of geneva specialization beginner
Investment Management with Python and Machine Learning,EDHEC Business School,SPECIALIZATION,4.6,Beginner,14k,investment management with python and machine learning edhec business school specialization beginner
Investment and Portfolio Management,Rice University,SPECIALIZATION,4.5,Beginner,49k,investment and portfolio management rice university specialization beginner
Japanese for beginners 1,Saint Petersburg State University,COURSE,4.6,Beginner,4.4k,japanese for beginners 1 saint petersburg state university course beginner
Java Programming and Software Engineering Fundamentals,Duke University,SPECIALIZATION,4.6,Beginner,380k,java programming and software engineering fundamentals duke university specialization beginner
Java Programming: Solving Problems with Software,Duke University,COURSE,4.6,Beginner,160k,java programming solving problems with software duke university course beginner
Julia Scientific Programming,University of Cape Town,COURSE,4.5,Beginner,22k,julia scientific programming university of cape town course beginner
Kotlin for Java Developers,JetBrains,COURSE,4.7,Intermediate,37k,kotlin for java developers jetbrains course intermediate
L'excellence opérationnelle en pratique,ESSEC Business School,COURSE,4.7,Beginner,8k,l excellence opérationnelle en pratique essec business school course beginner
"L'impact investing, la finance qui change le monde",ESSEC Business School,SPECIALIZATION,4.6,Beginner,6.3k,l impact investing la finance qui change le monde essec business school specialization beginner
Leadership Development for Engineers,Rice University,SPECIALIZATION,4.7,Beginner,17k,leadership development for engineers rice university specialization beginner
Leadership in 21st Century Organizations,Copenhagen Business School,COURSE,4.7,Mixed,34k,leadership in 21st century organizations copenhagen business school course mixed
Leading Healthcare Quality and Safety,The George Washington University,COURSE,4.8,Beginner,16k,leading healthcare quality and safety the george washington university course beginner
Leading People and Teams,University of Michigan,SPECIALIZATION,4.7,Beginner,220k,leading people and teams university of michigan specialization beginner
"Leading for Equity, Diversity and Inclusion in Higher Education",University of Michigan,COURSE,4.7,Intermediate,5.9k,leading for equity diversity and inclusion in higher education university of michigan course intermediate
Leading: Human Resource Management and Leadership,Macquarie University,SPECIALIZATION,4.8,Intermediate,16k,leading human resource management and leadership macquarie university specialization intermediate
Learn Chinese: HSK Test Preparation,Peking University,SPECIALIZATION,4.8,Beginner,43k,learn chinese hsk test preparation peking university specialization beginner
Learn English,Tsinghua University,SPECIALIZATION,4.3,Beginner,22k,learn english tsinghua university specialization beginner
Learn English: Advanced Academic Speaking and Listening,"University of California, Irvine",SPECIALIZATION,4.5,Intermediate,78k,learn english advanced academic speaking and listening university of california irvine specialization intermediate
Learn English: Advanced Grammar and Punctuation,"University of California, Irvine",SPECIALIZATION,4.8,Advanced,52k,learn english advanced grammar and punctuation university of california irvine specialization advanced
Learn English: Intermediate Grammar,"University of California, Irvine",SPECIALIZATION,4.7,Intermediate,120k,learn english intermediate grammar university of california irvine specialization intermediate
Learn Mandarin Chinese,Shanghai Jiao Tong University,SPECIALIZATION,4.8,Beginner,39k,learn mandarin chinese shanghai jiao tong university specialization beginner
Learn SQL Basics for Data Science,"University of California, Davis",SPECIALIZATION,4.6,Beginner,160k,learn sql basics for data science university of california davis specialization beginner
Learn Spanish: Basic Spanish Vocabulary,"University of California, Davis",SPECIALIZATION,4.6,Beginner,80k,learn spanish basic spanish vocabulary university of california davis specialization beginner
Learn to Program: The Fundamentals,University of Toronto,COURSE,4.8,Beginner,180k,learn to program the fundamentals university of toronto course beginner
Learn to Speak Korean 1,Yonsei University,COURSE,4.9,Beginner,120k,learn to speak korean 1 yonsei university course beginner
Learning to Teach Online,UNSW Sydney (The University of New South Wales),COURSE,4.7,Beginner,68k,learning to teach online unsw sydney the university of new south wales course beginner
Legal Tech & Startups,IE Business School,COURSE,4.5,Intermediate,7.2k,legal tech startups ie business school course intermediate
Les Fondamentaux de la Négociation,ESSEC Business School,COURSE,4.7,Beginner,10k,les fondamentaux de la négociation essec business school course beginner
Liderazgo efectivo para el siglo XXI,Universidad de los Andes,SPECIALIZATION,4.8,Intermediate,23k,liderazgo efectivo para el siglo xxi universidad de los andes specialization intermediate
Linear Circuits 1: DC Analysis,Georgia Institute of Technology,COURSE,4.6,Mixed,29k,linear circuits 1 dc analysis georgia institute of technology course mixed
Love as a Force for Social Justice,Stanford University,COURSE,4.7,Beginner,14k,love as a force for social justice stanford university course beginner
Machine Learning,University of Washington,SPECIALIZATION,4.6,Intermediate,290k,machine learning university of washington specialization intermediate
Machine Learning,Stanford University,COURSE,4.9,Mixed,3.2m,machine learning stanford university course mixed
Machine Learning Foundations: A Case Study Approach,University of Washington,COURSE,4.6,Mixed,240k,machine learning foundations a case study approach university of washington course mixed
Machine Learning and Reinforcement Learning in Finance,New York University,SPECIALIZATION,3.7,Intermediate,29k,machine learning and reinforcement learning in finance new york university specialization intermediate
Machine Learning for All,University of London,COURSE,4.6,Beginner,19k,machine learning for all university of london course beginner
Machine Learning for Business Professionals,Google Cloud,COURSE,4.6,Intermediate,58k,machine learning for business professionals google cloud course intermediate
Machine Learning for Trading,Google Cloud,SPECIALIZATION,3.9,Intermediate,15k,machine learning for trading google cloud specialization intermediate
Machine Learning with Python,IBM,COURSE,4.7,Intermediate,120k,machine learning with python ibm course intermediate
Machine Learning with TensorFlow on Google Cloud Platform,Google Cloud,SPECIALIZATION,4.5,Intermediate,72k,machine learning with tensorflow on google cloud platform google cloud specialization intermediate
Magic in the Middle Ages,Universitat de Barcelona,COURSE,4.6,Beginner,78k,magic in the middle ages universitat de barcelona course beginner
Making Architecture,IE School of Architecture & Design,COURSE,4.7,Beginner,43k,making architecture ie school of architecture design course beginner
Management of Fashion and Luxury Companies,Università Bocconi,COURSE,4.7,Mixed,120k,management of fashion and luxury companies università bocconi course mixed
Managerial Accounting Fundamentals,University of Virginia,COURSE,4.9,Beginner,11k,managerial accounting fundamentals university of virginia course beginner
Managerial Economics and Business Analysis,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,Beginner,55k,managerial economics and business analysis university of illinois at urbana champaign specialization beginner
Managing Innovation and Design Thinking,HEC Paris,SPECIALIZATION,4.7,Beginner,23k,managing innovation and design thinking hec paris specialization beginner
Managing Project Risks and Changes,"University of California, Irvine",COURSE,4.7,Mixed,71k,managing project risks and changes university of california irvine course mixed
Managing Social and Human Capital,University of Pennsylvania,COURSE,4.5,Beginner,27k,managing social and human capital university of pennsylvania course beginner
Managing Your Health: The Role of Physical Therapy and Exercise,University of Toronto,COURSE,4.6,Beginner,47k,managing your health the role of physical therapy and exercise university of toronto course beginner
Market Research,"University of California, Davis",SPECIALIZATION,4.5,Beginner,22k,market research university of california davis specialization beginner
Marketing Digital,Universidade de São Paulo,COURSE,4.8,Beginner,81k,marketing digital universidade de são paulo course beginner
Marketing Digital,Universidad Austral,SPECIALIZATION,4.7,Beginner,39k,marketing digital universidad austral specialization beginner
Marketing Gerencial,Universidad de Chile,COURSE,4.7,Intermediate,49k,marketing gerencial universidad de chile course intermediate
Marketing Mix Implementation,IE Business School,SPECIALIZATION,4.6,Beginner,93k,marketing mix implementation ie business school specialization beginner
Marketing Strategy,IE Business School,SPECIALIZATION,4.4,Beginner,57k,marketing strategy ie business school specialization beginner
Marketing Verde,Universidad de los Andes,COURSE,4.8,Mixed,58k,marketing verde universidad de los andes course mixed
Marketing con Redes Sociales,Tecnológico de Monterrey,SPECIALIZATION,4.4,Intermediate,60k,marketing con redes sociales tecnológico de monterrey specialization intermediate
Marketing in a Digital World,University of Illinois at Urbana-Champaign,COURSE,4.7,Beginner,310k,marketing in a digital world university of illinois at urbana champaign course beginner
Mastering Data Analysis in Excel,Duke University,COURSE,4.2,Mixed,280k,mastering data analysis in excel duke university course mixed
Mastering Final Cut Pro,LearnQuest,COURSE,4.6,Beginner,8.4k,mastering final cut pro learnquest course beginner
Mastering Software Development in R,Johns Hopkins University,SPECIALIZATION,4.3,Beginner,52k,mastering software development in r johns hopkins university specialization beginner
Materials Science: 10 Things Every Engineer Should Know,"University of California, Davis",COURSE,4.7,Mixed,48k,materials science 10 things every engineer should know university of california davis course mixed
Mathematics for Data Science,National Research University Higher School of Economics,SPECIALIZATION,4.5,Beginner,12k,mathematics for data science national research university higher school of economics specialization beginner
Mathematics for Machine Learning,Imperial College London,SPECIALIZATION,4.6,Beginner,150k,mathematics for machine learning imperial college london specialization beginner
Mathematics for Machine Learning: Linear Algebra,Imperial College London,COURSE,4.7,Beginner,140k,mathematics for machine learning linear algebra imperial college london course beginner
Mathematics for Machine Learning: Multivariate Calculus,Imperial College London,COURSE,4.7,Beginner,51k,mathematics for machine learning multivariate calculus imperial college london course beginner
Mathematics for Machine Learning: PCA,Imperial College London,COURSE,4.0,Intermediate,33k,mathematics for machine learning pca imperial college london course intermediate
Medical Cannabis: The Health Effects of THC and CBD,University of Colorado Boulder,SPECIALIZATION,4.8,Beginner,4.8k,medical cannabis the health effects of thc and cbd university of colorado boulder specialization beginner
Medical Neuroscience,Duke University,COURSE,4.9,Advanced,170k,medical neuroscience duke university course advanced
Memoir and Personal Essay: Write About Yourself,Wesleyan University,SPECIALIZATION,4.3,Beginner,13k,memoir and personal essay write about yourself wesleyan university specialization beginner
Methods and Statistics in Social Sciences,University of Amsterdam,SPECIALIZATION,4.6,Beginner,260k,methods and statistics in social sciences university of amsterdam specialization beginner
Microeconomics Principles,University of Illinois at Urbana-Champaign,COURSE,4.9,Beginner,73k,microeconomics principles university of illinois at urbana champaign course beginner
Microeconomics: The Power of Markets,University of Pennsylvania,COURSE,4.7,Mixed,34k,microeconomics the power of markets university of pennsylvania course mixed
Mindshift: Break Through Obstacles to Learning and Discover Your Hidden Potential,McMaster University,COURSE,4.8,Beginner,230k,mindshift break through obstacles to learning and discover your hidden potential mcmaster university course beginner
Miracles of Human Language: An Introduction to Linguistics,Universiteit Leiden,COURSE,4.7,Beginner,120k,miracles of human language an introduction to linguistics universiteit leiden course beginner
Model Thinking,University of Michigan,COURSE,4.8,Mixed,130k,model thinking university of michigan course mixed
Modeling Risk and Realities,University of Pennsylvania,COURSE,4.6,Mixed,36k,modeling risk and realities university of pennsylvania course mixed
Modern Art & Ideas,The Museum of Modern Art,COURSE,4.7,Beginner,310k,modern art ideas the museum of modern art course beginner
Modern Big Data Analysis with SQL,Cloudera,SPECIALIZATION,4.8,Beginner,14k,modern big data analysis with sql cloudera specialization beginner
"Modern Robotics:  Mechanics, Planning, and Control",Northwestern University,SPECIALIZATION,4.7,Intermediate,21k,modern robotics mechanics planning and control northwestern university specialization intermediate
Modernizing Data Lakes and Data Warehouses with GCP,Google Cloud,COURSE,4.7,Intermediate,9.1k,modernizing data lakes and data warehouses with gcp google cloud course intermediate
Moral Foundations of Politics,Yale University,COURSE,4.8,Mixed,100k,moral foundations of politics yale university course mixed
More Introduction to Financial Accounting,University of Pennsylvania,COURSE,4.9,Mixed,40k,more introduction to financial accounting university of pennsylvania course mixed
Mountains 101,University of Alberta,COURSE,4.9,Mixed,44k,mountains 101 university of alberta course mixed
Municipal Solid Waste Management in Developing Countries,École Polytechnique Fédérale de Lausanne,COURSE,4.8,Intermediate,59k,municipal solid waste management in developing countries école polytechnique fédérale de lausanne course intermediate
Music Business,Berklee College of Music,SPECIALIZATION,4.8,Beginner,42k,music business berklee college of music specialization beginner
Music Business Foundations,Berklee College of Music,COURSE,4.9,Mixed,34k,music business foundations berklee college of music course mixed
Music Production,Berklee College of Music,SPECIALIZATION,4.8,Beginner,70k,music production berklee college of music specialization beginner
Nanotechnology: A Maker’s Course,Duke University,COURSE,4.8,Mixed,21k,nanotechnology a maker s course duke university course mixed
Natural Language Processing in TensorFlow,deeplearning.ai,COURSE,4.6,Intermediate,40k,natural language processing in tensorflow deeplearning ai course intermediate
Negociación exitosa: Estrategias y habilidades esenciales (en español),University of Michigan,COURSE,4.8,Mixed,95k,negociación exitosa estrategias y habilidades esenciales en español university of michigan course mixed
"Negotiation, Mediation and Conflict Resolution",ESSEC Business School,SPECIALIZATION,4.7,Beginner,22k,negotiation mediation and conflict resolution essec business school specialization beginner
Networking and Security Architecture with VMware NSX,VMware,COURSE,4.8,Intermediate,17k,networking and security architecture with vmware nsx vmware course intermediate
Networking in Google Cloud,Google Cloud,SPECIALIZATION,4.7,Intermediate,290k,networking in google cloud google cloud specialization intermediate
Neural Networks and Deep Learning,deeplearning.ai,COURSE,4.9,Intermediate,630k,neural networks and deep learning deeplearning ai course intermediate
Neurolinguistics,Saint Petersburg State University,COURSE,4.7,Mixed,41k,neurolinguistics saint petersburg state university course mixed
New Approaches to Countering Terror: Countering Violent Extremism,"University of Maryland, College Park",COURSE,4.7,Beginner,12k,new approaches to countering terror countering violent extremism university of maryland college park course beginner
Newborn Baby Care,University of Colorado System,SPECIALIZATION,4.8,Beginner,5.3k,newborn baby care university of colorado system specialization beginner
Nutrición y obesidad: control de sobrepeso,Universidad Nacional Autónoma de México,COURSE,4.8,Beginner,100k,nutrición y obesidad control de sobrepeso universidad nacional autónoma de méxico course beginner
Nutrition and Lifestyle in Pregnancy,Ludwig-Maximilians-Universität München (LMU),COURSE,4.8,Intermediate,35k,nutrition and lifestyle in pregnancy ludwig maximilians universität münchen lmu course intermediate
Object Oriented Java Programming: Data Structures and Beyond,University of California San Diego,SPECIALIZATION,4.7,Intermediate,250k,object oriented java programming data structures and beyond university of california san diego specialization intermediate
